15年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神奈川新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,12,Ｇコントロｰルタワｰ, 40,野中悠, 1.6, 40,  -5, -12,12,112.1, ⑦⑦, 7, 4, フレンチフュｰゴ,---,吉田豊, 1.0, 31, -36,  -5, 4, 15.2,⑧⑤⑥, 7, 9,Ｇプレミアステイタス, 68,田辺裕, 0.9, 69,  13, -13,11, 57.8, ⑨⑩, 7,12,Ｈスイｰトサルサ, 84,田中勝, 0.4, 84,  10,   5, 4,  8.1,⑩⑪⑫
 8, 3,Ｄハマナス, 46,柴山雄, 1.6, 41,  -4, -11, 7, 19.9, ⑨⑨, 8, 1, バトルロックハｰト,---,三浦皇, 1.2, 30, -38,  -5,11,128.5,⑦⑧⑨, 8,16,Ｉコスモヨハネ, 67,柴田大, 0.9, 70,  15, -16,10, 41.9, ⑪⑧, 8,16,Ｊカレンケカリｰナ, 82,津村明, 0.4, 81,  13,   0, 7, 20.9,⑨⑨⑧
 9, 9,Ｍタマモワッショイ, 26,石橋脩, 1.8, 39,  -6, -12,11, 48.3, ⑫⑪, 9, 9, プラシデス,---,江田照, 1.4, 22,*-35, -14,12,179.4,③③③, 9,11,Ｏサクラビクトワｰル, 63,内田博, 0.9, 70,* 23, -30,14,142.4, ①①, 9, 1,Ｂケイアイエレガント, 90,吉田豊, 0.4, 81,* 20, -14, 3,  5.4,①①①
10,11,Ｋサクラブチャン, 32,二本柳, 1.8, 40,  -3, -15,14,169.8, ⑤⑥,10,10, ゴシップロｰズ,---,柴田大, 1.6, 20,*-34, -19,10, 91.8,②②②,10,14,Ｆアサクサゴｰルド, 68,藤岡康, 1.0, 70,  12, -11,15,152.2, ⑭⑫,10, 9,Ｄゴｰルデンナンバｰ, 86,秋山真, 0.5, 82,   9,*  8,12, 51.2,⑭⑭⑭
11, 5,Ｅヤマノスプリンタｰ, 42,井上敏, 2.2, 35,  -5, -17,10, 44.8, ⑧⑧,11, 2, リアリスト,---,戸崎圭, 1.9, 16, -36, -19, 8, 44.8,⑤④⑤,11, 1,Ｋメイショウスタｰク, 66,武幸四, 1.2, 68,  10,  -8,12, 82.1, ⑮⑮,11, 5,Ｑケイティバロｰズ, 76,石橋脩, 0.6, 81,  13,  -3,16,110.5,⑧⑧⑦
12, 6,Ｏサワラビ,  9,木幡初, 2.9, 31,  -8, -19,13,115.2, ⑭⑭,12, 8, ポノイ,---,石川裕, 5.9,-31, -45, -60, 9, 78.8,⑩⑫⑫,12, 4,Ｈシンガン, 68,蛯名正, 1.4, 66,  18, -26, 8, 26.6, ⑤⑤,12, 2,Ｇシャトｰブランシュ, 84,藤岡康, 0.8, 79,   9,   2, 6, 13.1,⑪⑫⑬
13,14,Ｈリワｰドデュラン, 37,石川裕, 3.0, 33,  -7, -22, 6, 18.6, ⑬⑬,,,,,,,,,,,,,13, 2,Ｐカスクストレングス, 62,柴山雄, 1.6, 62,   9, -16,13,140.8, ⑬⑭,13,11,Ｉパワｰスポット, 84,大野拓, 0.8, 80,   7,   5, 9, 23.2,⑯⑯⑯
14,15,Ｎバルドスカイ, 13,菅原隆, 3.9, 25, -10, -23,15,328.3, ⑮⑮,,,,,,,,,,,,,14, 3,Ｅタｰフデライト, 69,デムｰ, 1.7, 59,  12, -22, 6, 16.3, ⑩⑪,14, 7,Ｏメイショウマンボ, 79,武幸四, 1.1, 74,  16, -17, 8, 22.4,③④④
15, 7,Ｊタケデンガｰベラ, 34,大庭和, 4.7, 18,* -2, -44, 9, 39.9, ②③,,,,,,,,,,,,,15,10,Ｍドリｰムリヴァｰル, 64,岩田康, 1.8, 62,   4,  -8, 9, 31.4, ⑱⑱,15, 3,Ｃレッドリヴェｰル, 87,戸崎圭, 1.1, 75,  13,  -9, 2,  4.3,④⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｎトｰセンペンタゴン, 63,江田照, 2.2, 55,   4, -14,16,173.5, ⑰⑰,16,13,Ｆイリュミナンス, 85,横山典, 1.2, 75,   6,   2,10, 25.0,⑰⑰⑰
