15年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1400m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,鷹巣山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 2,Ｄマｰズアタック, 55,横山典, 2.6, 47,  -9,* -1, 7, 23.9, ⑯⑯, 7,17, プラウドフェロｰ,---,江田照, 0.5, 33, -38,   0, 7, 17.0, ⑩⑩, 7, 3, ミュゼリトルガｰル,,大江原,211.5,,,, 7, 18.5,④⑤⑤, 7, 2,Ｋアグレアｰブル, 45,岩田康, 0.6, 71, -11,  10, 3,  5.2,②④④
 8, 4,Ｈアポロノホウリン, 49,勝浦正, 2.7, 51,   5, -18, 4,  7.3, ③③, 8,13, ヌｰベルマリエ,---,武豊  , 0.5, 36, -40,*  5, 8, 19.4, ⑬⑮, 8,10, トｰセンハナミズキ,,小野寺,211.8,,,, 9, 30.5,⑪⑨⑧, 8, 4,Ｈロスカボス, 55,デムｰ, 0.6, 68,*-10,   9, 1,  2.9,④③③
 9, 3,Ｌシゲルシマダイ, 42,内田博, 3.1, 46,   0, -16, 6, 17.7, ⑩⑨, 9,16, グロリアスウィナｰ,---,丸田恭, 0.6, 35, -41,*  5,13, 78.8, ⑮⑭, 9, 5, マイネルピクトル,,石神深,212.1,,,, 8, 27.5,③④⑦, 9, 8,Ｄレインボｰライン, 71,蛯名正, 0.6, 75, -12,  15, 8, 37.2,⑦⑦⑦
10,16,Ｎアキツシマ, 38,田中勝, 3.3, 46,  -2, -14,14,199.0, ⑪⑪,10,12, アルスフェルト,---,横山典, 0.6, 34, -42,*  5, 2,  4.8, ⑭⑬,10, 7, サンライズロイヤル,,植野貴,213.8,,,, 4, 10.3,⑩⑩⑩,10, 5,Ｊダイワリアクション, 50,北村宏, 1.7, 56, -11,  -6,10,160.2,⑤⑤⑤
11, 5,Ｇユッセ, 51,松岡正, 3.5, 42,  -3, -15,12, 72.3, ⑫⑫,11, 8, リバｰサイドパｰク,---,岩田康, 0.8, 34, -45,*  6, 6, 16.2, ⑰⑰,11, 9, ハヤブサフィｰバｰ,,草野太,217.3,,,,12,109.7,⑦⑧⑨,11, 7,Ｉカミノライデン, 53,柴山雄, 1.9, 57, -13,  -1,11,255.3,⑪⑪⑨
12,10,Ｋポッドビバｰチェ, 44,石川裕, 3.6, 44,   2, -22, 5, 17.7, ⑤⑧,12, 9, ウエルカムダンス,---,井上敏, 0.9, 24,*-34, -13,17,188.6, ②②,,,,,,,,,,,,,,,,,,,,,,,,
13,14,Ｏスリｰジェット, 33,岩田康, 3.6, 42,   0, -21,10, 46.2, ⑦⑩,13,18, カフェプリモ,---,内田博, 1.0, 27, -39,  -6,12, 58.3, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
14,12,Ｐキリシマシアトル, 21,大野拓, 4.7, 34,  -7, -21,16,396.8, ⑬⑮,14, 6, リｰネアロッサ,---,勝浦正, 1.0, 31, -42,   1, 9, 23.9, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
15, 1,Ｊジェイラｰ, 44,ベリｰ, 4.8, 34,*  6, -37, 8, 25.6, ②②,15, 1, イエスウチダ,---,嘉藤貴, 1.1, 26, -40,  -5,16,184.1, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
16,15,Ｍクロシオサンカ, 41,柴田善, 5.6, 27,  -3, -33,15,373.8, ⑭⑬,16, 2, アイリｰアイリｰ,---,田中勝, 1.1, 25, -38, -10,15,167.0, ⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,10, ニジイロノカゼ,---,柴田善, 1.2, 23, -37, -11,18,201.9, ⑨⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,11, アマリリス,---,松岡正, 1.5, 25, -44,  -4,14,151.5, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-21 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:3),,,,,,,,,,,
"単勝:240円 複勝:07=140円 11=130円 09=1,330円 枠連:580円",,,,,,,,,,,,"単勝:600円 複勝:03=240円 04=720円 15=410円 枠連:8,340円",,,,,,,,,,,,"単勝:490円 複勝:01=240円 13=660円 02=2,460円 枠連:1,880円",,,,,,,,,,,,単勝:700円 複勝:10=190円 09=150円 01=240円 枠連:700円,,,,,,,,,,,
"馬連:570円 ワイド:07-11=280円 07-09=3,870円 09-11=2,970円",,,,,,,,,,,,"馬連:8,070円 ワイド:03-04=2,500円 03-15=1,540円 04-15=4,390円",,,,,,,,,,,,"馬連:4,520円 ワイド:01-13=1,320円 01-02=5,640円 02-13=11,640円",,,,,,,,,,,,"馬連:1,370円 ワイド:09-10=500円 01-10=1,030円 01-09=630円",,,,,,,,,,,
"馬単:980円 3連複:12,850円 3連単:49,070円",,,,,,,,,,,,"馬単:13,820円 3連複:28,660円 3連単:174,620円",,,,,,,,,,,,"馬単:8,230円 3連複:125,030円 3連単:536,590円",,,,,,,,,,,,"馬単:3,220円 3連複:3,590円 3連単:20,880円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  ダ2100m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,伊勢佐木特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａディｰマジェスティ, 59,蛯名正,, 69,  -2,* 21, 1,  2.6,⑨⑨⑨, 1, 1,Ａダウトレス, 75,江田照,, 73,  -2,* 12, 1,  2.4, ⑬⑪, 1,13,Ｋアカノジュウハチ, 77,田中勝,, 83,  13,*  9, 3,  5.3,⑫⑪⑩, 1, 7,Ｊシルヴァｰコｰド, 69,ベリｰ,, 82,* 13,   1, 5, 12.4, ②②
 2,13,Ｅマウントロブソン, 55,ムｰア, 0.0, 66,   0,* 17, 2,  4.2,⑦⑧⑧, 2, 4,Ｉフィラｰレ, 68,蛯名正, 0.2, 72,   1,   7, 7, 22.9, ④④, 2, 5,Ｌカレングラスジョｰ, 77,戸崎圭, 0.4, 80,  14,   2, 6, 15.9,⑥⑤⑥, 2, 2,Ｇインストアイベント, 70,横山和, 0.3, 74,   3,* 10, 8, 20.6, ⑭⑮
 3, 7,Ｃドラゴンテリｰ, 55,デムｰ, 0.4, 59,*  1,   8, 3,  5.3,②④③, 3, 6,Ｂワイルドダラｰ, 74,内田博, 0.2, 71,   0,   8, 3,  5.0, ⑦⑦, 3, 7,Ｂムｰンレンジャｰ, 83,柴田善, 0.5, 79,  12,*  7, 2,  4.2,⑮⑮⑭, 3, 8,Ｄファンシｰリシェス, 73,戸崎圭, 0.3, 76,   8,   3, 6, 13.8, ⑥⑥
 4, 1,Ｆミヤビエンブレム, 53,岩田康, 0.5, 63,  -3,* 17, 4,  6.8,⑩⑪⑫, 4,15,Ｅパトロクロス, 70,田辺裕, 0.3, 71,  -4,* 12, 5, 13.6, ⑭⑮, 4, 8,Ｍショウナンバロｰネ, 77,田辺裕, 0.5, 79,  12,*  6,10, 37.0,⑪⑫⑫, 4, 5,Ｃロンバルディア, 73,岩田康, 0.4, 75,   7,   3, 1,  3.2, ⑨⑧
 5, 8,Ｋシャインブライト, 46,ベリｰ, 0.6, 59,  -2,  10, 5, 10.1,⑧⑦⑦, 5,10,Ｃスマｰトダイバｰ, 73,武豊  , 0.3, 70,  -2,*  9, 4, 10.7, ⑪⑫, 5, 2,Ｆデブリン, 80,岩田康, 0.6, 78,* 16,  -4,11, 37.3,①①①, 5,16,Ａサクラディソｰル, 76,デムｰ, 0.4, 74,   6,   5, 2,  4.5, ⑧⑫
 6, 5,Ｄコスモジャｰベ, 55,柴田大, 0.7, 58,*  1,   4, 8, 24.7,⑥⑤④, 6,13,Ｄウォリアｰズソウル, 72,石川裕, 0.4, 70,   0,   5, 2,  3.7, ⑤⑤, 6,12,Ｉステｰジジャンプ, 78,内田博, 0.8, 78,* 16,  -4, 4,  9.4,③④②, 6,10,Ｌコスモヨハネ, 68,柴田大, 0.4, 74,  -1,* 14,15, 66.7, ⑱⑱
 7, 2,Ｂウインガｰネット, 56,内田博, 1.1, 55,  -3,   7, 6, 14.8,⑫⑩⑩, 7, 9,Ｊパラダイスガｰデン, 68,柴田大, 0.6, 68,*  1,   2, 8, 33.2, ③③, 7, 9,Ｃポルトボナｰル, 81,石川裕, 1.1, 77,  12,   1, 7, 16.4,⑭⑭⑬, 7, 3,Ｐプルガステル, 64,柴山雄, 0.6, 72,   6,   2, 9, 29.2, ⑩⑪
 8,11,Ｉルミナリｰスピン, 49,戸崎圭, 1.5, 46,*  2, -12, 7, 17.3,①①①, 8,16,Ｇタイセイアニマｰト, 70,柴田善, 0.6, 67,   0,   3, 6, 15.6, ⑥⑥, 8,10,Ｅロジテｰル, 80,大野拓, 1.2, 76,  13,   0, 9, 30.6,⑨⑧⑪, 8, 1,Ｆコスモイノセント, 71,木幡初, 0.6, 73,   6,   3,14, 66.4, ⑬⑩
 9, 9,Ｍジェムクオリティ, 43,藤岡康, 1.9, 48,  -6,   1, 9, 60.5,⑪⑫⑬, 9, 3,Ｌナンヨｰルｰク, 60,木幡初, 0.6, 67,*  2,   1,14,217.2, ①①, 9,15,Ｈプリンスダム, 79,デムｰ, 1.4, 73,  14,  -5, 5,  9.6,⑧⑩⑦, 9, 6,Ｅアブソリュカフェ, 71,武豊  , 0.7, 71,  10,  -5,10, 37.1, ④③
