15年10月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｵｸﾄｰﾊﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
11,13,Ｊグラスセイヴァｰ, 39,幸英明, 0.6, 43,  -5,  -8,11, 56.8, ⑪⑪,11,11, プロスパｰアゲン,---,柴田大, 1.3, 44, -21,  -8,15,234.5, ⑥⑥,11, 1,Ｍアサクサリｰダｰ, 58,石川裕, 1.5, 61,  -1,   1, 9, 28.0, ⑮⑮,11,13,Ｄナガラオリオン, 87,柴山雄, 1.3, 77,   8,   8,13, 52.5, ⑩⑩
12, 4,Ｌクラウンムｰン, 36,丸田恭, 0.6, 42,  -3,  -9, 9, 36.4, ⑩⑧,12, 8, マｰズアタック,---,横山典, 1.5, 41, -24,  -6, 5, 17.6, ⑩⑨,12, 5,Ｉアビスコ, 64,田中勝, 2.0, 56,   1,  -6,11, 48.0, ⑫⑪,12,16,Ｌピンポン, 84,柴田善, 1.5, 76,   5,  10,10, 25.6, ⑮⑮
13,11,Ｈダイワチャｰチル, 43,北村宏, 0.7, 43, -10,   1, 2,  4.4, ⑱⑱,13,10, エブリｰナイト,---,柴田善, 1.5, 38,*-18, -15, 9, 59.5, ②②,13, 3,Ｇロマンシｰズ, 64,柴田善, 2.0, 57,   5, -12,12, 60.8, ⑥⑦,13,11,Ｉタイセイファントム, 85,戸崎圭, 1.5, 76,   9,   5, 2,  5.6, ⑧⑧
14, 9,Ｏドラゴンイモン, 33,丸山元, 0.9, 39,  -3, -15,13, 85.2, ⑨⑩,14,15, レｰヌユニヴェｰル,---,井上敏, 1.9, 33, -20, -20,14,137.9, ③③,14,14,Ｆカウンタｰハッセキ, 64,大江原, 2.6, 53,   7, -18,10, 34.6, ⑤⑥,14,10,Ｎフミノファルコン, 81,勝浦正, 2.1, 70,   6,   3, 8, 17.4, ⑫⑬
15, 3,Ｉエクセルレジェンド, 41,大野拓, 1.1, 37,*  2, -25,17,221.6, ②②,15, 2, ジｰクフリｰト,---,吉田豊, 3.3, 28, -39,  -5,12, 78.6, ⑮⑮,15,11,Ｏクｰルアンジュ, 50,丸田恭, 3.5, 44,   2, -20,16,291.7, ⑩⑫,15,12,Ｐシンキングマシｰン, 79,吉田隼, 2.5, 68,   2,   4,12, 51.4, ⑯⑯
16, 5,Ｑマイネルドラグｰン, 30,松岡正, 1.3, 35,  -3, -21,12, 75.0, ⑧⑨,,,,,,,,,,,,,16,13,Ｐノムベサ, 46,石橋脩, 5.8, 28,   5, -46,14,138.9, ④⑤,16, 8,Ｏセイコｰライコウ, 80,江田照, 3.8, 56,   9, -16,11, 30.3, ⑦⑦
17,16,Ｇツクバオｰキッド, 45,黛弘人, 1.5, 33,  -4, -21,16,190.1, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10,Ｐヴェリタス, 30,横山和, 1.7, 31,  -8, -16,18,230.1, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,
"単勝:5,330円 複勝:12=1,100円 01=410円 06=360円 枠連:1,180円",,,,,,,,,,,,単勝:150円 複勝:06=110円 13=270円 07=220円 枠連:580円,,,,,,,,,,,,"単勝:1,890円 複勝:09=330円 04=120円 16=260円 枠連:480円",,,,,,,,,,,,"単勝:1,920円 複勝:14=510円 03=270円 07=350円 枠連:5,840円",,,,,,,,,,,
