15年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｽﾋﾟｶｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 8,Ｆセンノレイダｰス, 55,石橋脩, 0.7, 49,*  1,  -9, 8, 21.6, ③③, 7,12,Ｄブリエアヴェニｰル, 57,石川裕, 0.6, 57, -10,* 10, 5, 14.6,⑬⑮⑪, 7,14,Ｆファンシｰミュｰズ, 79,三浦皇, 0.8, 74,  -2,  13, 2,  4.0,⑨⑦⑦, 7, 5,Ｅアフォｰド, 84,村田一, 0.5, 82,   2,  13, 5,  9.2, ⑫⑫
 8,12,Ｊセイウンアサヒ, 44,大野拓, 0.9, 48,  -9,  -3, 3,  5.9, ⑬⑬, 8, 1,Ｉアキトジュピタｰ, 44,柴田大, 0.6, 56,  -7,   3, 4,  8.1,⑨⑨⑧, 8, 6,Ｄムｰドティアラ, 80,伊藤工, 1.0, 73,  -5,* 17, 3,  6.2,⑬⑯⑯, 8, 2,Ｃヘニｰハウンド, 86,菱田裕, 0.5, 82,   5,  10,10, 25.2, ⑧⑦
 9, 6,Ｌヤマニンピエドｰル, 41,蛯名正, 0.9, 48,  -3,  -8, 6, 16.1, ⑦⑧, 9, 5,Ｆクピド, 51,津村明, 0.8, 52,  -8,   2, 9, 54.3,⑪⑩⑩, 9, 5,Ｂネヴァｰハｰツ, 80,田辺裕, 1.1, 72,  -4,  14, 6, 15.2,⑩⑭⑭, 9,11,Ｈプリンセスメモリｰ, 83,勝浦正, 0.5, 83,   0,* 16,12, 35.7, ⑮⑬
10, 7,Ｇワイルドテイスト, 52,柴山雄, 1.1, 44,  -1, -11,10, 46.4, ⑥⑥,10, 2,Ｌコスモエルドｰル, 41,嘉藤貴, 0.9, 51,* -3,  -8,11, 96.2,③③③,10,11,Ｍデザｰトオブムｰン, 72,石橋脩, 1.2, 70,  -3,  13,12, 34.6,⑦⑪⑩,10,14,Ｉスマｰトオリオン, 81,三浦皇, 0.5, 82,   7,   7, 3,  6.7, ⑥⑧
11,10,Ｏマイティブロウ, 22,石川裕, 1.2, 45,  -9,  -5,12,114.0, ⑫⑫,11, 4,Ｋヴァペンシエロ, 43,石橋脩, 1.1, 51,  -5,  -8,15,286.1,⑦⑤⑦,11,16,Ｅブルｰボサノヴァ, 80,丸田恭, 1.2, 69,  -4,  14,10, 24.7,⑭⑮⑮,11,15,Ｊスギノエンデバｰ, 80,田辺裕, 0.6, 81,   8,   6,11, 31.8, ⑦⑤
12, 9,Ｈマインドブロウ, 49,的場勇, 1.7, 40,  -4, -14, 9, 30.2, ⑨⑩,12,15,Ｇクリノトイトイ, 47,木幡初, 1.7, 45,  -8,  -8,12,116.9,⑫⑬⑭,12, 4,Ｋマキノクィｰン, 74,蛯名正, 1.3, 69,  -1,   7, 9, 20.8,④④④,12,10,Ｄバクシンテイオｰ, 85,石橋脩, 0.6, 82,   5,   9, 8, 17.5, ⑨⑩
13,11,Ｍミルキｰプリン, 39,井上敏, 2.0, 40, -23,*  3,14,149.7, ⑮⑮,13, 9,Ｈクリノテツマン, 44,丸田恭, 1.8, 40,* -4, -21,10, 82.8,⑤④⑤,13,15,Ｃタンスチョキン, 80,菱田裕, 1.4, 69,  -3,  11, 5, 10.8,⑮⑫⑬,13, 7,Ｐショウナンアチｰヴ, 72,蛯名正, 0.9, 77,   2,   8, 6, 10.8, ⑬⑭
14, 1,Ｉネオキセキ, 46,武士沢, 2.1, 37, -22,   0,11, 47.9, ⑭⑭,14,10,Ｎノｰススウェル, 34,的場勇, 2.1, 42,  -8, -11,14,258.9,⑮⑭⑮,14, 1,Ｐリンガスアリュｰル, 68,柴田善, 1.7, 66,  -4,  10,15,111.4,⑫⑬⑨,14, 9,Ｍダッシャｰゴｰゴｰ, 75,大野拓, 1.0, 75,   1,   7,15, 79.7, ⑭⑮
15,13,Ｎルイヴィルリップ, 38,三浦皇, 2.8, 32,*  4, -30,15,192.9, ①①,15,14,Ｍロドリゴユッキ, 37,柴山雄, 2.4, 36,  -7, -22,13,193.6,⑩⑪⑬,15, 8,Ｎホワイトプラネット, 69,木幡初, 2.4, 63,  -2,   1,13, 40.6,⑥⑩⑫,15, 1,Ｏインプレスウィナｰ, 73,田中勝, 1.2, 74,  -1,   8,16,158.6, ⑯⑯
16, 3, スイレンビュｰティ,---,嘉藤貴, 2.9, 29, -33,*  3,16,393.3, ⑯⑯,,,,,,,,,,,,,16,12,Ｏヴァンデミエｰル, 69,井上敏, 4.0, 52,   0, -16,16,196.0,⑪⑥⑪,16,16,Ｎフギン, 74,藤田伸, 1.6, 69,*  9,  -8,14, 66.3, ④④
