15年 3月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1200m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,千葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,11,Ｏオｰルマイタイム, 24,井上敏, 3.0, 45,*  9, -26,16,298.6,①①④, 7, 6,Ｋトップインパクト, 48,勝浦正, 1.0, 61,   3,*  5,13, 87.3,⑪⑬⑬, 7, 6,Ｅコスモスタｰタｰ, 71,柴田大, 1.7, 69,  19, -31, 6, 18.0,⑨⑦④, 7, 7,Ｈミュゼスルタン, 69,柴田善, 0.5, 82, -10,* 27, 6, 14.9,⑫⑫⑫
 8,12,Ｉマイネルマｰゴ, 50,柴田大, 3.4, 43,   5, -20, 8, 36.5,⑪⑩⑪, 8, 5, ビｰハグ,---,石橋脩, 1.2, 58,   3,  -2, 7, 20.4,⑬⑪⑫, 8, 4,Ｈハツガツオ, 69,武士沢, 1.8, 68,* 20, -36,10, 31.5,④③②, 8,11,Ｅフォワｰドカフェ, 75,田中勝, 0.7, 73,  -4,   9, 8, 64.5,③④⑤
 9, 5,Ｐファイタｰホリハル,  4,バルジ, 3.9, 39,   4, -23,14,245.8,⑩⑬⑭, 9, 3,Ｌサダムルｰティン, 47,村田一, 1.6, 53,   5, -11, 8, 48.3,⑩⑨⑨, 9, 3,Ｇフェイトカラｰ, 70,福永祐, 2.1, 62,  17, -34, 5, 10.1,⑤⑧⑧, 9, 2,Ｊマイネルシュバリエ, 63,三浦皇, 1.1, 69,  -6,   8,10,141.6,④⑦⑦
10, 1,Ｊサンロｰガン, 47,的場勇, 4.2, 38,   5, -24,12,164.5,⑨⑫⑬,10, 8,Ｉマイネルインプレス, 51,柴田大, 1.7, 52,*  9, -23, 9, 52.2,②②③,10, 1,Ａディオジェｰヌ, 76,戸崎圭, 2.2, 63,  17, -34, 1,  3.1,⑧⑨⑨,10, 9,Ｌマイネルサクセサｰ, 46,柴山雄, 1.9, 60,  -9,   4,12,328.7,⑪⑩⑩
11, 2,Ｍアストンブラック, 36,松岡正, 4.3, 35,   4, -24,10, 52.5,⑮⑮⑮,11,13,Ｍトミケンブレスク, 43,横山和, 1.9, 49,   1,  -7,15,298.4,⑮⑭⑭,11,10,Ｆアニマトゥｰル, 71,蛯名正, 5.1, 44,   5, -47,11, 34.8,⑬⑬⑬,11, 4,Ｋタケデンタイガｰ, 54,津村明, 2.8, 43,* -1, -26,11,327.2,①①①
12,10,Ｋトｰアムｰンリバｰ, 44,田辺裕, 4.4, 37,   7, -29,11,145.7,⑦⑧⑩,12, 4,Ｎエクソｰルナｰレ, 39,バルジ, 2.0, 50,*  8, -22,11, 70.9,⑤⑤⑥,12, 5, トキノセレブ,---,平野優, 5.5, 20,  18, -84,12, 94.5,②⑤⑫,,,,,,,,,,,,
13, 7,Ｌケンリュウセイ, 40,田中勝, 4.7, 36,   7, -34,15,246.1,⑥⑦⑨,13, 1,Ｂワンディトウショウ, 60,内田博, 3.1, 39,   6, -36, 6, 14.3,⑦⑦⑧,13, 7,Ｃコスモチョコレイ, 72,津村明, 5.8, 16,* 21, -95, 8, 28.2,①①⑤,,,,,,,,,,,,
14, 6,Ｈロｰレルウラノス, 53,柴山雄, 4.9, 30,*  9, -40, 5, 23.2,③③⑦,14,12,Ｆアングルブラケット, 53,丸田恭, 3.3, 36,   1, -27,12, 78.8,⑫⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Ｎシンキングベｰダ, 35,松田大, 5.2, 32,  -1, -23,13,167.4,⑯⑯⑯,15,11,Ｏハヤブサロックオン, 35,石川裕, 3.6, 35,  -1, -27,16,300.8,⑯⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,
16, 3,Ｄカウンタｰポイズ, 61,蛯名正, 6.2, 28,*  9, -50, 4, 13.1,②②⑧,16,14,Ｊサンインディアナ, 50,井上敏, 3.7, 34,*  7, -48,14,227.6,③④⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:1),,,,,,,,,,,
単勝:260円 複勝:08=110円 04=130円 16=110円 枠連:400円,,,,,,,,,,,,単勝:410円 複勝:02=170円 07=200円 10=180円 枠連:910円,,,,,,,,,,,,"単勝:3,020円 複勝:09=670円 02=220円 11=220円 枠連:3,890円",,,,,,,,,,,,"単勝:1,230円 複勝:01=220円 06=110円 08=140円 枠連:930円",,,,,,,,,,,
馬連:460円 ワイド:04-08=180円 08-16=150円 04-16=260円,,,,,,,,,,,,"馬連:1,110円 ワイド:02-07=420円 02-10=630円 07-10=680円",,,,,,,,,,,,"馬連:12,030円 ワイド:02-09=2,700円 09-11=2,370円 02-11=720円",,,,,,,,,,,,"馬連:1,090円 ワイド:01-06=390円 01-08=650円 06-08=190円",,,,,,,,,,,
"馬単:890円 3連複:360円 3連単:1,600円",,,,,,,,,,,,"馬単:2,070円 3連複:2,340円 3連単:11,030円",,,,,,,,,,,,"馬単:29,430円 3連複:17,120円 3連単:168,500円",,,,,,,,,,,,"馬単:3,220円 3連複:1,180円 3連単:10,310円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,幕張ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａスズダリア, 65,内田博,, 69,*  5,*  0, 1,  2.4, ①①, 1, 2,Ｂホワイトウインド, 71,柴田大,, 77,* -9,* 14, 2,  4.1,①①①, 1, 8,Ｃアルマディヴァン, 83,勝浦正,, 82,   7,   7, 5, 12.2,⑨⑫⑪, 1,10,Ａゼンノヒストリエ, 81,田辺裕,, 75,*  2,   8, 3,  7.2, ③③
