15年 1月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-20,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａフロイデシュｰネル, 68,松山弘,, 58,* -4,* -4, 1,  2.5, ②②, 1,15, シンダｰズ,---,蛯名正,, 57,  -7,*  1, 5,  9.2, ⑥⑥, 1, 6,Ｈタマモトッププレイ, 72,池添謙,, 81,* -2,  13, 9, 23.0, ③②, 1,14,Ｂカジキ, 81,岩崎翼,, 74,* -1,  10, 4,  7.8, ②②
 2, 7,Ｂジュｰンブラジリエ, 57,和田竜, 0.2, 58,  -6,* -2, 2,  3.0, ⑥⑥, 2, 7, グランシュクレ,---,藤岡佑, 0.0, 57,  -5,  -2, 3,  5.1, ④④, 2, 9,Ｃケイティｰプライド, 77,武豊  , 0.0, 85,  -6,* 19, 3,  4.4, ⑦⑦, 2,16,Ｃドニカナルボｰイ, 80,川田将, 0.0, 75,  -3,  12, 1,  3.5, ④④
 3, 9,Ｃミュゼバトラｰ, 56,デムｰ, 0.3, 55,  -5,  -6, 4, 10.3, ③③, 3, 8, パセンジャｰシップ,---,後藤浩, 1.2, 46,  -5, -13, 1,  3.7, ⑤⑤, 3, 5,Ａカピオラニパレス, 79,北村友, 0.3, 82,  -9,* 20, 4,  9.4, ⑬⑫, 3, 3,Ｋヤマニンメンヒル, 75,丸田恭, 0.0, 74,  -8,  18,13,114.7, ⑧⑧
 4, 3,Ｈリリｰヴィクトリｰ, 53,池添謙, 0.5, 53,  -5,  -7, 6, 13.0, ④④, 4,16, メイショウタラチネ,---,秋山真, 1.4, 44, -14,  -2, 8, 21.6, ⑭⑬, 4,12,Ｄベアトリッツ, 77,デムｰ, 0.3, 85, -10,* 23, 2,  3.6, ⑭⑬, 4,11,Ｊハニｰドント, 75,国分恭, 0.1, 73,* -1,   9,12, 59.5, ③③
 5,10,Ｄスｰパｰルミナル, 55,福永祐, 0.5, 54,* -3,  -9, 9, 46.1, ①①, 5, 5, ソラノカナタ,---,武豊  , 1.4, 45, -15,*  1, 2,  5.0, ⑮⑮, 5,14,Ｉカシノピカチュウ, 72,浜中俊, 0.4, 77,* -4,  10, 5, 12.6, ⑥③, 5, 9,Ｍヒラボクダッシュ, 74,福永祐, 0.2, 74, -12,* 20, 7, 16.5, ⑪⑪
 6,15,Ｊオイルタウン, 53,太宰啓, 0.6, 55,  -8,* -2,10, 71.8, ⑩⑨, 6,13, メモリｰオブハｰス,---,浜中俊, 1.6, 45, -13,  -3, 9, 24.1, ⑬⑫, 6, 8,Ｆサウンドデュｰク, 75,幸英明, 0.4, 80,  -8,  16, 6, 13.3, ⑩⑩, 6, 6,Ｅサトノスパｰクル, 80,岩田康, 0.2, 73, -13,* 20, 3,  4.8, ⑫⑫
 7, 2,Ｎメイショウアバラガ, 47,岩田康, 0.9, 51,  -7,  -8, 3,  6.5, ⑦⑦, 7,14, イットガｰル,---,酒井学, 1.8, 41, -13,  -8,11, 44.0, ⑫⑪, 7, 4,Ｂディｰプサウス, 78,福永祐, 0.6, 74,  -5,   9, 1,  3.3, ④⑤, 7, 2,Ｌワンダｰフォルテ, 74,竹之下, 0.2, 73, -11,  17,16,133.3, ⑩⑨
 8, 8,Ｅシゲルデンガク, 54,秋山真, 1.2, 49,  -8,  -8, 7, 28.2, ⑨⑩, 8,12, サンマルアリュｰル,---,バルジ, 1.9, 41,  -8, -15, 6, 13.7, ⑨⑦, 8, 2,Ｍニシノモンクス, 62,高倉稜, 0.6, 79,  -8,  13,13,251.8, ⑨⑨, 8,12,Ｄエイシンパラダイス, 80,藤田伸, 0.3, 72,  -6,  12, 2,  3.7, ⑥⑥
 9, 5,Ｉダシヌケ, 53,武幸四, 1.2, 49,  -5, -13,11, 98.0, ⑤⑤, 9, 2, ヤマイチサクラ,---,佐久間, 2.2, 40,* -3, -23,12, 70.8, ②①, 9, 1,Ｊウエスタンレベッカ, 72,義英真, 0.7, 74,* -3,   6,10, 62.6, ②④, 9, 1,Ｉプリュム, 76,北村友, 0.3, 71,  -5,  11,11, 50.3, ⑤⑤
10, 1,Ｆタイガｰボス, 54,小牧太, 1.3, 49,  -7, -10, 5, 12.3, ⑧⑧,10, 1, メイショウメブキ,---,武幸四, 2.6, 37,  -7, -21,13,123.6, ⑦⑧,10, 7,Ｇクロイゼリンチャン, 74,後藤浩, 0.7, 72,* -3,   6, 8, 19.4, ⑤⑥,10, 4,Ｈセイユウスマイル, 77,バルジ, 0.3, 71,*  2,   5, 6, 15.1, ①①
