15年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,勝浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,11,Ｉコスモラフム, 42,石川裕, 1.2, 48,  -5, -16,12,144.8,⑫⑪⑫, 7, 8, チェストケハｰツ,---,吉田隼, 0.7, 39, -29,   0, 8, 21.8,⑨⑧⑧, 7, 3,Ｋヤマニンブルジョン, 70,松山弘, 0.7, 70,   2,   7,13,103.3, ⑨⑨, 7,11,Ｎレッドオｰヴァル, 77,蛯名正, 0.3, 83,  -6,  16,12, 31.5, ⑥⑤
 8,14,Ｍスイｰトドリｰムス, 36,嘉藤貴, 1.4, 49,  -4, -15,16,660.4,⑬⑭⑭, 8, 4, ディクタム,---,北村宏, 0.8, 44, -34,*  6, 6, 16.9,⑫⑫⑪, 8,14,Ｏメイショウツバクロ, 67,石川裕, 0.8, 69,   4,   3, 8, 26.6, ⑦⑧, 8, 5,Ｍスギノエンデバｰ, 78,松山弘, 0.5, 81, -11,  19,15,126.3, ⑪⑬
 9, 7,Ｆタンサンドｰル, 46,北村宏, 1.4, 46,  -1, -27, 2,  4.4,⑦⑥⑦, 9,14, クラウンマｰキュリ,---,武士沢, 1.0, 41, -31,  -1,14,298.4,⑪⑩⑩, 9,16,Ｅオルフィｰク, 76,井上敏, 0.9, 67,   6,   1, 6, 22.3, ⑤④, 9, 9,Ｅアクティブミノル, 86,藤岡康, 0.6, 76,* -2,   8, 8, 16.6, ②②
10,16,Ｌコスモブランカ, 37,松岡正, 1.4, 48,  -1, -26,11,113.4,⑨⑧⑨,10,12, デルマネネ,---,石川裕, 1.1, 33, -30,  -7,10, 53.1,⑦⑨⑦,10, 1,Ｆセイユウスマイル, 74,横山和, 0.9, 68,* 10,  -3,10, 41.2, ①①,10,16,Ｌティｰハｰフ, 80,国分優, 0.7, 79, -18,* 23, 7, 15.0, ⑮⑭
11,13,Ｂマルタｰズゲイル, 50,蛯名正, 1.6, 45,*  1, -36, 5,  8.6,⑥③③,11,13, グランアルバス,---,武豊  , 1.3, 25,*-23, -22, 7, 18.3,①①①,11, 5,Ｊディアゴッホ, 70,勝浦正, 0.9, 66,  -2,   8,12, 84.4, ⑩⑩,11, 3,Ｋリトルゲルダ, 81,川田将, 0.7, 76, -10,  15,14, 89.8, ⑩⑪
12, 5,Ｏサトノオマｰジュ, 27,松山弘, 1.8, 45, -10, -13,13,164.0,⑯⑯⑯,12, 1, ハイグリｰ,---,戸崎圭, 1.7, 26, -30, -14, 9, 44.6,⑧⑦⑨,12,10,Ｐトウショウデュエル, 65,木幡初, 1.0, 66,  -1,   6,16,230.1, ⑪⑪,12, 8,Ｊハクサンムｰン, 81,酒井学, 0.7, 74,*  3,   2, 5, 11.8, ①①
13, 1,Ａコスモダヴァンティ, 57,柴田大, 1.8, 44,*  3, -42, 4,  7.8,①①①,13,10, メッザルｰナ,---,木幡初, 1.8, 29, -32,  -9,13,140.9,⑬⑬⑬,13, 6,Ｇレアヴェントゥｰレ, 73,武豊  , 1.7, 60,  -2,   1, 5, 16.2, ⑫⑭,13,15,Ｇコパノリチャｰド, 86,デムｰ, 0.8, 73,  -9,  12,10, 27.5, ⑨⑧
14, 3,Ｃラペルトワ, 50,戸崎圭, 2.0, 40,   0, -40, 8, 20.6,③④④,14, 6, マイネルシュロス,---,柴田大, 2.3, 26, -36,  -9,12,134.6,⑭⑭⑭,14,13,Ｍシゲルオオスミ, 69,川田将, 1.8, 60,*  7,  -8,11, 51.5, ④⑦,13, 7,Ｂベルカント, 90,武豊  , 0.8, 73,  -5,   8, 2,  4.6, ④④
15, 6,Ｎエヌケイボｰイ, 34,丸山元, 2.1, 41,*  2, -45,14,230.3,②②②,,,,,,,,,,,,,15,15,Ｌクｰルヴェント, 70,木幡初, 2.2, 55, -13,   7,15,223.1, ⑯⑯,15,14,Ｄフラアンジェリコ, 88,北村宏, 1.1, 73, -20,  19,13, 87.3, ⑭⑮
16,10,Ｐミヤビクラリタ, 23,井上敏, 3.5, 32,  -1, -56,15,391.0,⑤⑦⑬,,,,,,,,,,,,,16,12,Ｎハヤブサペコチャン, 68,吉田隼, 2.3, 54,  -3,  -3,14,161.5, ⑬⑮,,,,,,,,,,,,
