15年 1月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,初春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
単勝:400円 複勝:07=150円 13=150円 14=230円 枠連:440円,,,,,,,,,,,,単勝:170円 複勝:06=110円 09=140円 05=180円 枠連:410円,,,,,,,,,,,,"単勝:560円 複勝:10=230円 16=680円 11=310円 枠連:5,360円",,,,,,,,,,,,"単勝:1,640円 複勝:15=370円 01=290円 11=240円 枠連:2,650円",,,,,,,,,,,
馬連:950円 ワイド:07-13=410円 07-14=640円 13-14=720円,,,,,,,,,,,,馬連:530円 ワイド:06-09=250円 05-06=320円 05-09=440円,,,,,,,,,,,,"馬連:9,310円 ワイド:10-16=2,880円 10-11=940円 11-16=3,300円",,,,,,,,,,,,"馬連:7,150円 ワイド:01-15=1,610円 11-15=1,180円 01-11=980円",,,,,,,,,,,
"馬単:2,160円 3連複:2,730円 3連単:11,760円",,,,,,,,,,,,"馬単:750円 3連複:1,060円 3連単:2,450円",,,,,,,,,,,,"馬単:16,040円 3連複:21,640円 3連単:136,380円",,,,,,,,,,,,"馬単:19,480円 3連複:10,720円 3連単:94,020円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 6R  ダ1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1600m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■12R  芝2200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,菜の花賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｍスナッチアキス, 38,柴山雄,, 63,  -1,*  5, 5, 18.1, ⑤④, 1, 9, サンマルスカイ,---,戸崎圭,, 50, -12,* -1, 1,  4.3, ⑦⑦, 1,15,Ｇクイｰンズリング, 59,ブノワ,, 69,  -3,* 11, 2,  4.4,⑧⑦⑥, 1, 9,Ｂブライトボｰイ, 81,内田博,, 77,  10,  -6, 5, 12.3,⑦⑥⑥
 2,13,Ａオｰバｰウェルム, 61,横山典, 0.1, 62,  -4,*  7, 1,  1.7, ⑧⑦, 2, 5, クラウンジュｰン,---,後藤浩, 0.2, 48,* -9,  -6, 5,  9.7, ①①, 2,11,Ａマキシマムドパリ, 66,戸崎圭, 0.3, 65,  -6,* 11, 1,  3.6,⑭⑩⑨, 2, 3,Ｆルミナスウォリアｰ, 77,柴山雄, 0.0, 77,   8,*  1, 2,  4.3,⑧⑧⑦
 3,15,Ｋニンニクマン, 45,石川裕, 0.3, 61,* -1,   1, 7, 24.8, ③③, 3,12, モンサンナシｰラ,---,内田博, 0.3, 47, -12,  -4, 3,  5.4, ⑥⑤, 3, 6,Ｅアイライン, 60,吉田豊, 0.4, 68,  -5,* 12,10, 35.9,⑩⑫⑫, 3, 4,Ｇエバｰグリｰン, 76,横山典, 0.0, 76,* 11,  -7, 3,  4.6,⑤⑤⑤
 4, 8,Ｆハｰドアスリｰト, 50,西田雄, 0.9, 56,  -4,  -2, 6, 24.2, ⑦⑧, 4, 8, シュｰトオフ,---,横山和, 0.5, 47, -13,  -5,11, 57.6, ⑨⑪, 4, 1,Ｃホワイトウインド, 63,柴田大, 0.6, 62,*  0,  -2, 5,  7.2,③③③, 4,10,Ａダｰビｰフィズ, 83,蛯名正, 0.2, 76,   5,*  6, 1,  2.9,⑫⑪⑪
 5,11,Ｂスレッジハンマｰ, 59,田辺裕, 1.1, 54,  -2,  -5, 2,  5.7, ④⑤, 5,13, カジノゲｰム,---,田辺裕, 0.5, 47, -13,  -5, 8, 11.3, ⑧⑧, 5,10,Ｉホワイトエレガンス, 54,松岡正, 0.7, 62,  -4,   4, 9, 26.5,⑪⑨⑧, 5, 1,Ｈロｰドエフォｰル, 75,ブノワ, 0.4, 73,   9,  -7,10, 33.9,⑥⑦⑧
 6, 6,Ｉツクバインパクト, 46,田中勝, 1.5, 52,  -2,  -7, 4, 10.0, ⑥⑥, 6,10, セイウンアサヒ,---,大野拓, 0.8, 43, -29,*  6, 6, 11.1, ⑫⑫, 6, 8,Ｈグリシｰヌシチｰ, 58,横山典, 0.9, 57,  -1,  -3, 6, 12.4,④⑥⑤, 6, 8,Ｉルミナスレッド, 75,江田照, 0.6, 71,   6,  -2,12,119.7,⑨⑩⑩
