15年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ静岡賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,650円 複勝:05=430円 02=570円 01=180円 枠連:2,370円",,,,,,,,,,,,単勝:330円 複勝:05=130円 06=120円 12=320円 枠連:440円,,,,,,,,,,,,単勝:290円 複勝:08=140円 12=330円 01=230円 枠連:910円,,,,,,,,,,,,単勝:490円 複勝:13=220円 04=220円 06=320円 枠連:560円,,,,,,,,,,,
"馬連:20,160円 ワイド:02-05=4,180円 01-05=900円 01-02=1,470円",,,,,,,,,,,,"馬連:430円 ワイド:05-06=220円 05-12=1,040円 06-12=870円",,,,,,,,,,,,"馬連:1,580円 ワイド:08-12=710円 01-08=470円 01-12=1,510円",,,,,,,,,,,,"馬連:1,880円 ワイド:04-13=820円 06-13=1,270円 04-06=1,340円",,,,,,,,,,,
"馬単:34,830円 3連複:22,000円 3連単:184,300円",,,,,,,,,,,,"馬単:1,020円 3連複:2,280円 3連単:8,460円",,,,,,,,,,,,"馬単:2,550円 3連複:3,810円 3連単:18,790円",,,,,,,,,,,,"馬単:3,210円 3連複:6,720円 3連単:28,200円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1400m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,六社特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａアッラサルｰテ, 60,ルメｰ,, 59,* 12, -18, 2,  3.3, ③③, 1, 6,Ｄブルｰボサノヴァ, 75,丸田恭,, 75,   7,*  9, 8, 19.6, ⑯⑮, 1, 1,Ｄロジチャリス, 78,福永祐,, 78,   7,   1, 2,  3.7, ④④, 1,14,Ｆサノイチ, 77,内田博,, 79,  10,*  6, 2,  5.2, ⑦⑦
 2, 5,Ｐニシノケイト, 38,勝浦正, 0.1, 55,   2,* -6,14,151.0, ⑩⑩, 2,10,Ｂメリｰウィドウ, 76,吉田豊, 0.2, 73,   9,*  3, 2,  5.7, ⑩⑩, 2, 2,Ｅロｰズマンブリッジ, 77,石橋脩, 0.0, 80,   5,   6,10, 47.6, ⑧⑦, 2,15,Ａプリサイスエｰス, 83,デムｰ, 0.1, 77,   8,*  7, 1,  4.2, ⑨⑧
 3, 7,Ｅキングドラゴン, 50,北村宏, 0.1, 57,   9, -16, 5, 11.9, ⑤⑤, 3, 3,Ｆマハロマナ, 72,福永祐, 0.3, 73,  11,  -1, 3,  9.3, ⑤⑤, 3, 3,Ｆストｰンウェア, 77,ルメｰ, 0.0, 79,   8,   2, 3,  5.4, ⑤⑤, 3,10,Ｊイクラトロ, 75,中谷雄, 0.3, 77,   7,*  8, 8, 19.8, ⑩⑩
 4,15,Ｂナイトインブラック, 60,デムｰ, 0.3, 55,* 14, -26, 1,  2.8, ②②, 4, 5,Ｃタイセイティグレス, 76,内田博, 0.3, 74,  11,   1, 4,  9.7, ⑥⑧, 4, 8,Ｋアウトオブシャドウ, 72,戸崎圭, 0.2, 76,   5,   2,13, 58.3, ⑦⑧, 4, 3,Ｅトｰセンマイティ, 77,ルメｰ, 0.3, 78,* 13,  -1, 3,  5.2, ②②
 5, 2,Ｆシェヴェルニｰ, 50,石川裕, 0.4, 52,   1,* -7,11, 61.6, ⑫⑫, 5, 2,Ｉリｰスリング, 70,井上敏, 0.6, 72,   6,*  4,13, 64.0, ⑮⑭, 5,14,Ｈベストドリｰム, 75,岩田康, 0.3, 77,   2,   6, 5, 10.8, ⑪⑪, 5, 8,Ｂミヤジマッキｰ, 81,戸崎圭, 0.4, 76,* 12,  -1, 6, 11.2, ③③
 6, 8,Ｏリンガスウラン, 39,柴田善, 0.4, 53,   5, -12, 7, 25.0, ⑦⑧, 6, 9,Ａヘヴンズチョイス, 80,ルメｰ, 1.0, 70,  10,  -5, 1,  2.1, ⑧⑨, 6, 5,Ａエイシンエルヴィン, 84,デムｰ, 0.3, 75,  -1,* 12, 1,  3.1, ⑬⑬, 6, 2,Ｈブロｰドソｰド, 77,福永祐, 0.9, 72,* 14,  -7, 7, 11.6, ①①
 7, 6,Ｉアクティベｰト, 45,戸崎圭, 0.5, 50,   2, -11, 8, 28.8, ⑪⑪, 7, 7,Ｍイデアオブクィｰン, 66,蛯名正, 1.2, 70,   9,  -3,10, 43.6, ⑪⑪, 7,15,Ｃレッドライジェル, 79,四位洋, 0.3, 78,  -3,* 15, 4,  7.8, ⑮⑮, 7, 4,Ｇラピダメンテ, 77,横山典, 1.0, 69,   7,   0, 9, 21.8, ⑧⑨
 8,14,Ｈタネホカホカ, 47,江田照, 0.5, 51,   6, -15,10, 47.4, ⑧⑦, 8,16,Ｎマカワオクイｰン, 61,三浦皇, 1.6, 64,  12, -14,12, 55.8, ④④, 8,12,Ｂパワｰスラッガｰ, 80,江田照, 0.3, 75,   1,   8,11, 49.3, ⑫⑫, 8, 9,Ｍマレｰナ, 71,北村宏, 1.0, 72,  11,  -5, 5, 10.0, ⑤⑤
