15年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ｸﾞｯﾄﾞﾗｯｸﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,11, キョウワクロニクル,---,井上敏, 4.0, 41,   0, -25, 9, 62.5,⑤⑤⑤, 7,15,Ａアサクサスタｰズ, 79,ルメｰ, 1.0, 71,  10,  -6, 2,  3.5,⑩⑩⑩, 7,14,Ｎコアレスキング, 78,勝浦正, 1.0, 77,  13,   0,14, 84.0,⑩⑩⑦, 7,13,Ａスマｰトエビデンス, 82,三浦皇, 0.4, 71,* 10,  -7, 5, 11.4, ①①
 8, 7, ラマレ,---,石橋脩, 4.6, 41,  -6, -16,13,111.0,⑬⑬⑫, 8,12,Ｅクロフネフリｰト, 74,デムｰ, 1.2, 66,  11, -11, 1,  2.3,⑤⑥⑤, 8, 8,Ｇリアライズブラザｰ, 82,内田博, 1.6, 74,  16, -10,13, 66.5,④⑤⑧, 8,15,Ｏアｰスプレイ, 67,田中勝, 0.6, 70,  -1,   1, 7, 16.2, ⑫⑫
 9, 4, ララパルｰザ,---,石川裕, 5.2, 38,  -1, -32, 3,  6.4,⑥⑩⑨, 9, 9,Ｉナスノアオバ, 71,大野拓, 1.5, 66,   9, -10,13,104.7,⑫⑫⑬, 9, 5,Ｈバｰディｰイｰグル, 81,蛯名正, 1.7, 74,  15,  -9,11, 48.1,⑧⑦④, 9, 1,Ｇダイワベスパｰ, 72,村田一, 0.6, 70,   1,  -1,12, 54.5, ⑩⑨
10,14, ダｰニングイｰグル,---,大庭和, 6.1, 31,   1, -44, 4,  6.4,③③⑦,10, 6,Ｈヘイロｰフォンテン, 71,丸山元, 1.5, 65,* 12, -16,10, 45.0,②②②,10, 2,Ｉティアップレｰヴ, 81,江田照, 1.8, 73,  15, -11, 9, 30.4,⑤⑥⑥,10, 9,Ｌタカラジェニファ, 69,大野拓, 0.6, 69,   2,  -2, 8, 25.5, ⑨⑩
11, 1, レオジャスティス,---,横山和, 6.1, 32,  -5, -33,14,183.7,⑭⑪⑩,11, 7,Ｆマイネルヴェッケン, 73,三浦皇, 1.8, 64,  10, -14, 5, 16.4,⑦⑧⑨,11, 4,Ｍトウショウギフト, 80,岩部純, 1.8, 73,  10,  -1,16,140.7,⑮⑭⑭,11, 2,Ｆスｰパｰアｰス, 72,江田照, 0.7, 67,  -7,*  6,13, 65.9, ⑯⑯
12,12, ホメテノバスコ,---,田中勝, 6.5, 30,  -1, -42, 7, 23.6,④⑨⑪,12, 2,Ｌヴィスビｰ, 69,江田照, 1.8, 64,* 12, -18, 8, 23.7,①①①,12,11,Ｌセンチュリオン, 80,ルメｰ, 2.0, 73,  13,  -8, 7, 14.4,⑨⑪⑪,12, 7,Ｊスプリングサヴァン, 70,伊藤工, 0.9, 65,  -3,   0,10, 40.1, ⑭⑮
13, 6, カンテラガｰル,---,柴山雄, 6.8, 29, -10, -27,12,107.4,⑫⑭⑭,13,10,Ｋコスモカウピリ, 70,丹内祐, 1.9, 64,  11, -16,16,182.0,⑧⑦⑦,13,10,Ｐダノングッド, 73,松若風, 2.1, 72,* 18, -20, 8, 15.8,①①①,13, 5,Ｍビットスタｰダム, 67,菱田裕, 1.3, 60,  -3,  -6,15,119.5, ⑬⑭
14, 2, ツヤヒメクイｰン,---,勝浦正, 8.7, 20,  -5, -53,10, 73.5,⑨⑫⑬,14,13,Ｐポッシブルドリｰム, 49,柴山雄, 2.5, 60,   3,  -6,12,100.0,⑯⑯⑯,14,16,Ｏセイカアヴァンサ, 74,柴山雄, 2.9, 67,  10,  -9,15, 92.8,⑪⑯⑮,14,14,Ｐラインロバｰト, 61,嶋田純, 1.3, 60,   3, -12,16,137.5, ⑧⑧
,,,,,,,,,,,,15, 3,Ｊデモクラシｰ, 70,松岡正, 2.5, 60,  11, -21,14,140.6,⑥⑤⑥,15, 7,Ｋアテンファｰスト, 80,ボウマ, 2.9, 66,* 17, -23,12, 56.2,③④⑤,15, 3,Ｈスリｰアルテミス, 72,丸山元, 2.1, 49,   6, -26,14, 95.1, ④⑥
,,,,,,,,,,,,16, 4,Ｏメイプルレジェンド, 56,田中勝, 3.9, 51,   7, -26,15,174.7,⑪⑭⑮,,,,,,,,,,,,,16, 4,Ｎジｰニマジック, 67,柴山雄, 2.4, 45,   6, -29,11, 51.1, ⑤④
