07年 6月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,,■ 4R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,,■10R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2, 4,Ａマｰブルジｰン, 53,北村友, 0.0, 55,  -4,*  1, 2,  3.7,⑦⑥⑤, 2,11,Ｊエアリｰズ, 31,藤岡佑, 0.5, 58,*  0,  -5, 9, 42.3,②②②, 2, 3,Ｂトップディアマンテ, 72,古川吉, 0.1, 80,* -2,* 25, 4, 11.4,④②②, 2, 5,Ｆスパニッシュソウル, 65,長谷川, 0.0, 72,   8,   3, 3,  6.7,⑤④③
 3, 2,Ｂトｰアミッシェル, 51,田中博, 1.0, 47,  -3, -13, 4,  8.4,④③②, 3, 5,Ｅサンワｰドレッツ, 51,藤田伸, 0.8, 55,  -1,  -5, 2,  4.8,④④③, 3, 5,Ｃマストビｰトゥルｰ, 66,柴山雄, 0.3, 70,* -1,  18, 1,  1.9,①①①, 3, 2,Ｈイチゴイチエ, 62,小野次, 0.1, 72,* 14, -13, 4, 10.9,①①①
 4, 7,Ｇヤマノフェロｰ, 29,塚田祥, 1.2, 47,  -2, -14, 8, 87.6,⑤③②, 4, 2,Ｂナリタチャレンジ, 54,北村友, 0.8, 52,  -3,  -5, 3,  6.6,⑥⑥⑧, 4, 6,Ａミストラルクルｰズ, 81,菊沢隆, 0.4, 71,* -2,  19, 2,  3.1,②②②, 4,11,Ｂマイネコンテッサ, 69,柴山雄, 0.1, 69,   4,* 11, 5, 12.5,⑫⑫⑫
 5, 9,Ｆバトルソニック, 44,勝浦正, 2.7, 37,  -2, -27, 5, 22.0,⑤⑤⑤, 5, 6,Ｄアドマイヤシｰド, 53,柴山雄, 1.0, 52,  -5,* -1, 5,  9.0,⑪⑨⑨, 5, 8,Ｅジュンノホｰプ, 62,竹之下, 1.1, 67,  -7,  21, 5, 12.6,⑧⑧⑥, 5, 6,Ａアイアムザヒロイン, 70,菊沢隆, 0.2, 68,   4,   8,14, 80.6,⑧⑩⑪
 6, 6,Ｄコアレスバロン, 49,秋山真, 5.2, 21,*  0, -53, 1,  1.7,②①④, 6,12,Ｉメイショウサルト, 36,秋山真, 1.0, 53,  -1,  -8,11,110.8,④④③, 6, 1,Ｈエスジｰビｰト, 42,小林徹, 1.1, 57,* -4,   9, 8, 51.4,②②④, 6, 7,Ｇシルキｰフレンド, 63,木幡初, 0.2, 67,   1,* 14,10, 50.6,⑬⑬⑫
 7, 5,Ｉフェルベｰル,-12,長谷川, 9.8,-47, -13, -74, 7, 80.3,⑦⑧⑧, 7, 8,Ｇマッティｰノ, 42,小林徹, 1.4, 49,  -3,  -8, 7, 21.0,⑨⑧⑤, 7, 2,Ｉカシマワンダｰ,  6,藤岡佑, 2.6, 49,  -7,  -2, 9, 67.1,⑧⑧⑦, 7,12,Ｃダンスオｰルナイト, 68,藤田伸, 0.5, 66,   5,   2, 1,  2.1,⑧⑨⑦
 8, 3,Ｈツルマルリュｰ, 28,柴山雄,11.1,-47,  -3, ---, 6, 29.5,①⑥⑦, 8,10,Ｈポｰトムテキ, 39,津村明, 1.6, 48,  -3, -11, 8, 35.2,⑥⑥⑤, 8, 7,Ｆロｰランリバｰス, 62,塚田祥, 3.3, 32,  -5, -17, 7, 34.5,⑥⑥⑦, 8,10,Ｉリキアイコンドル, 60,藤岡佑, 0.6, 65,   7,  -3, 7, 20.1,⑤⑦⑦
,,,,,,,,,,,, 9, 1,Ｃヒカリヘリオス, 53,田中博, 2.0, 41,  -6, -12, 6, 19.2,⑥⑨⑩, 9, 9,Ｄコンプレッソ, 62,藤田伸, 3.5, 30,  -6, -17, 3,  7.8,④⑦⑨, 9,14,Ｍアクティブアクト, 53,芹沢純, 0.9, 61,   7,  -9, 8, 25.3,⑩⑥⑥
,,,,,,,,,,,,10, 7,Ｆナイスセレクトワン, 50,的場勇, 2.6, 38,* -1, -27, 4,  9.0,②②⑤,,,,,,,,,,,,,10, 4,Ｊキョウエイタキオン, 59,的場勇, 0.9, 61,* 12, -20, 6, 14.5,②②②
,,,,,,,,,,,,11, 9,Ｌグラマラスドｰル, 22,菊沢隆, 3.4, 34,  -6, -22,10, 95.6,⑨⑪⑪,,,,,,,,,,,,,11, 9,Ｄユキノマｰメイド, 67,勝浦正, 1.1, 60,   8, -13, 2,  5.3,④④③
,,,,,,,,,,,,12, 3,Ｋメイショウヤクモ, 25,武英智, 3.5, 34,  -8, -19,12,119.9,⑪⑫⑫,,,,,,,,,,,,,12,13,Ｌタキオンプリンセス, 55,小林徹, 2.0, 49,* 11, -35,11, 63.7,③②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｎヒンギス, 43,秋山真, 2.5, 44,  -2, -16,13, 74.2,⑭⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
